epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,103.345,0.6603,0.55803,0.95129,0.97267,0.95068,0.97472,0.73661,0.9602,0.54936,1.05485,0.0011609,0.0011609,0.0011609
94,104.461,0.72777,0.53543,0.94472,0.92483,0.975,0.97007,0.72805,0.99318,0.54067,1.04458,0.0011554,0.0011554,0.0011554
95,105.535,0.71869,0.57806,0.93602,0.97864,0.97075,0.99,0.73149,0.9639,0.51349,1.06582,0.0011499,0.0011499,0.0011499
96,106.623,0.62092,0.50238,0.89903,0.99317,0.93356,0.98276,0.70492,1.04605,0.5692,1.132,0.0011444,0.0011444,0.0011444
97,107.712,0.6941,0.53993,0.93939,0.9911,0.93654,0.96144,0.69762,1.01194,0.65002,1.09644,0.00113889,0.00113889,0.00113889
98,108.802,0.69412,0.51737,0.92395,0.96048,0.96009,0.96535,0.69999,0.99323,0.60888,1.08372,0.00113339,0.00113339,0.00113339
99,109.884,0.70353,0.51909,0.95229,0.97837,0.94462,0.9691,0.68756,1.05066,0.60585,1.0903,0.00112789,0.00112789,0.00112789
100,110.989,0.69885,0.51329,0.95726,0.97773,1,0.995,0.73294,1.0493,0.56392,1.10338,0.00112239,0.00112239,0.00112239
101,112.125,0.64791,0.52068,0.9271,0.9941,1,0.995,0.71096,1.01626,0.55417,1.08178,0.00111689,0.00111689,0.00111689
102,113.203,0.60221,0.51023,0.9221,0.98367,0.97171,0.99,0.74761,0.95907,0.51086,1.04338,0.00111139,0.00111139,0.00111139
103,114.294,0.6439,0.49231,0.92447,0.96205,0.92433,0.94519,0.70627,1.03818,0.78264,1.10441,0.00110589,0.00110589,0.00110589
104,115.371,0.7073,0.4957,0.96595,1,0.94484,0.97119,0.72381,1.02658,0.65551,1.1048,0.00110039,0.00110039,0.00110039
105,116.446,0.66235,0.53178,0.90767,0.92908,0.95824,0.9681,0.74266,0.97347,0.55723,1.05638,0.00109489,0.00109489,0.00109489
106,117.538,0.65972,0.50341,0.94701,0.95287,0.975,0.99131,0.72616,0.97615,0.5152,1.06392,0.00108938,0.00108938,0.00108938
107,118.628,0.67629,0.4945,0.97159,0.98232,0.95252,0.98351,0.74078,1.00096,0.54309,1.08318,0.00108388,0.00108388,0.00108388
108,119.698,0.62735,0.47185,0.90234,0.96701,0.97056,0.97348,0.71488,1.02781,0.60236,1.08725,0.00107838,0.00107838,0.00107838
109,120.768,0.63293,0.56457,0.94688,0.97249,0.94648,0.97158,0.7086,1.03714,0.67029,1.13108,0.00107288,0.00107288,0.00107288
110,121.849,0.70486,0.48351,0.97795,0.97388,0.94696,0.97003,0.70541,1.03742,0.66346,1.11159,0.00106738,0.00106738,0.00106738
111,122.933,0.60807,0.45754,0.92924,0.98634,0.875,0.96085,0.69806,1.05186,0.70283,1.08925,0.00106188,0.00106188,0.00106188
112,124.059,0.70676,0.59667,0.96055,0.9409,0.87007,0.92399,0.70571,1.00349,0.83981,1.09289,0.00105638,0.00105638,0.00105638
113,125.14,0.6671,0.51621,0.93992,0.93852,0.83742,0.91864,0.6705,1.03769,0.75376,1.08604,0.00105088,0.00105088,0.00105088
114,126.227,0.61026,0.60212,0.96363,0.91868,0.83536,0.88564,0.65531,1.02558,0.81615,1.08508,0.00104538,0.00104538,0.00104538
115,127.32,0.63298,0.46651,0.9292,0.92636,0.83654,0.92754,0.69825,1.0529,0.73419,1.0825,0.00103987,0.00103987,0.00103987
116,128.396,0.64427,0.49418,0.93081,0.91257,0.88917,0.94951,0.72718,0.98925,0.62489,1.06185,0.00103437,0.00103437,0.00103437
117,129.47,0.68358,0.56667,1.01166,0.90747,0.9626,0.96395,0.74991,0.9555,0.57785,1.07228,0.00102887,0.00102887,0.00102887
118,130.544,0.60214,0.45614,0.89074,0.98668,0.88937,0.98381,0.75163,0.97867,0.51364,1.07941,0.00102337,0.00102337,0.00102337
119,131.635,0.63252,0.49942,0.90731,0.92736,0.95344,0.96661,0.72806,0.98099,0.56135,1.06328,0.00101787,0.00101787,0.00101787
