epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,87.1337,0.52637,0.48915,0.8888,0.983,1,0.995,0.80055,0.88953,0.40799,0.94378,0.00021471,0.00021471,0.00021471
90,88.0808,0.5031,0.44731,0.86668,0.98572,1,0.995,0.78598,0.83984,0.40778,0.93091,0.000198206,0.000198206,0.000198206
91,89.4895,0.4741,0.48157,0.84173,0.98485,1,0.995,0.79631,0.82383,0.41101,0.93443,0.000181703,0.000181703,0.000181703
92,90.4644,0.48778,0.48528,0.85629,0.98148,1,0.995,0.80154,0.83184,0.41755,0.93894,0.0001652,0.0001652,0.0001652
93,91.3996,0.46667,0.46209,0.85248,0.98135,1,0.995,0.80069,0.83108,0.4168,0.93879,0.000148696,0.000148696,0.000148696
94,92.346,0.50073,0.49597,0.90612,0.9825,1,0.995,0.8061,0.83499,0.42059,0.93886,0.000132193,0.000132193,0.000132193
95,93.2785,0.44384,0.45714,0.8674,0.98231,1,0.995,0.81194,0.84021,0.43272,0.93534,0.00011569,0.00011569,0.00011569
96,94.2257,0.48193,0.4808,0.86828,0.98269,1,0.995,0.80404,0.84132,0.43893,0.93445,9.91865e-05,9.91865e-05,9.91865e-05
97,95.1504,0.44549,0.48086,0.88943,0.98298,1,0.995,0.79225,0.84242,0.43364,0.93477,8.26832e-05,8.26832e-05,8.26832e-05
98,96.0828,0.45498,0.43876,0.83233,0.98406,1,0.995,0.78054,0.84989,0.43222,0.93685,6.61799e-05,6.61799e-05,6.61799e-05
99,97.0158,0.45575,0.44977,0.86264,0.98369,1,0.995,0.78312,0.85067,0.43988,0.93788,4.96766e-05,4.96766e-05,4.96766e-05
100,97.9573,0.44805,0.47091,0.85202,0.98499,1,0.995,0.78344,0.8527,0.43586,0.94036,3.31733e-05,3.31733e-05,3.31733e-05
